Date,Open,High,Low,Close,Volume
10/1/2012,14.39267531,15.93899894,14.39267531,15.52271614,197078
10/2/2012,16.05795861,16.41476157,15.82003927,16.05795861,456695
10/3/2012,16.65268092,16.65268092,15.40375647,15.58219598,354383
10/4/2012,15.46323631,15.76055943,15.34427663,15.46323631,141446
10/7/2012,15.93899894,16.05795861,15.10635729,15.22531696,254757
10/8/2012,15.46323631,15.64159976,14.92791778,15.34427663,183266
10/9/2012,16.05795861,16.05795861,15.22531696,15.46323631,363080
10/10/2012,15.22531696,15.70107959,15.10635729,15.16583712,270871
10/11/2012,15.40375647,15.46323631,14.92791778,14.98739761,260512
10/14/2012,15.34427663,15.34427663,14.51163498,14.63059466,341594
10/15/2012,15.46323631,15.46323631,14.51163498,14.74955433,55248
10/16/2012,14.86843794,15.46323631,14.86843794,15.16583712,261535
10/17/2012,15.40375647,15.40375647,15.04687745,15.04687745,112032
10/18/2012,15.34427663,15.34427663,14.69007449,14.80903417,332130
10/21/2012,14.92791778,15.22531696,14.57111482,14.69007449,474600
10/22/2012,14.98739761,15.70107959,14.80903417,15.58219598,242096
10/23/2012,15.76055943,15.82003927,15.52271614,15.76055943,541742
10/30/2012,14.98739761,15.70107959,14.98739761,15.34427663,96685
10/31/2012,15.10635729,15.46323631,14.39267531,14.51163498,261535
11/1/2012,14.86843794,14.86843794,14.39267531,14.57111482,197334
11/4/2012,15.16583712,15.16583712,14.45215515,14.45215515,74560
11/5/2012,14.63059466,14.63059466,13.97639251,14.09535219,342617
11/6/2012,14.45215515,14.74955433,14.2142358,14.57111482,194265
11/7/2012,14.57111482,14.57111482,14.09535219,14.09535219,339036
11/8/2012,14.51163498,14.51163498,13.67899333,13.797953,164850
11/11/2012,13.67899333,13.97639251,13.32219037,13.61951349,257954
11/12/2012,13.97639251,13.97639251,13.56003366,13.797953,124181
11/13/2012,13.67899333,13.797953,13.56003366,13.67899333,154235
11/14/2012,13.73847317,14.15475596,13.67899333,13.85743284,70595
11/15/2012,13.97639251,13.97639251,13.61951349,13.67899333,256547
11/18/2012,14.03587235,14.03587235,13.61951349,13.61951349,188766
11/19/2012,13.44107398,13.67899333,13.38159415,13.44107398,189149
11/20/2012,13.67899333,13.67899333,13.08427102,13.14375086,163443
11/21/2012,13.56003366,13.56003366,13.02479119,13.08427102,163316
11/22/2012,13.02479119,13.08427102,12.96531135,12.96531135,100777
11/26/2012,12.90583151,12.90583151,12.72739201,12.78687184,41053
11/27/2012,12.78687184,12.90583151,12.48954872,12.60843233,40541
11/28/2012,12.72739201,13.02479119,12.60843233,12.72739201,150143
11/29/2012,13.67899333,13.67899333,12.78687184,13.50055382,408736
12/2/2012,13.91691268,13.97639251,13.38159415,13.50055382,262047
12/3/2012,13.38159415,13.56003366,13.26271053,13.44107398,57295
12/4/2012,12.31110921,13.50055382,12.31110921,13.38159415,81466
12/5/2012,13.38159415,13.67899333,13.26271053,13.56003366,124693
12/6/2012,13.32219037,13.56003366,13.32219037,13.38159415,116252
12/9/2012,13.2032307,13.26271053,12.84635168,12.96531135,108067
12/10/2012,13.08427102,13.2032307,12.60843233,13.08427102,88884
12/11/2012,12.90583151,13.61951349,12.84635168,13.38159415,111392
12/12/2012,13.56003366,13.91691268,13.44107398,13.50055382,175977
12/13/2012,13.56003366,13.91691268,13.32219037,13.797953,122647
12/17/2012,14.80903417,14.80903417,13.85743284,14.51163498,440709
12/18/2012,14.51163498,14.86843794,14.03587235,14.57111482,278033
12/19/2012,14.57111482,15.10635729,14.39267531,14.80903417,487772
12/20/2012,15.16583712,15.16583712,14.69007449,14.98739761,281230
12/23/2012,14.57111482,14.74955433,14.57111482,14.57111482,117531
12/24/2012,14.39267531,14.63059466,14.27371564,14.27371564,448638
12/26/2012,14.27371564,14.69007449,14.2142358,14.2142358,405156
12/27/2012,14.2142358,14.51163498,14.15475596,14.27371564,248107
12/30/2012,14.57111482,14.86843794,14.45215515,14.74955433,1164950
1/1/2013,15.10635729,15.93899894,14.86843794,14.86843794,427153
1/2/2013,14.69007449,14.98739761,14.45215515,14.80903417,60748
1/3/2013,14.86843794,14.98739761,14.57111482,14.86843794,132878
